Season,Matchday,Opponent,Minute,Player,Outcome,Distance,BodyPart,Notes,SCA1,SCA1Event,SCA2,SCA2Event
2017/18,1,Brighton & Hove Albion,4,Gabriel Jesus,Blocked,11,Right Foot,,Fernandinho,Pass (Live),Kyle Walker,Pass (Live)
2017/18,1,Brighton & Hove Albion,9,Danilo,Off Target,21,Right Foot,,David Silva,Pass (Live),Danilo,Pass (Live)
2017/18,1,Brighton & Hove Albion,14,Fernandinho,Off Target,10,Head,,David Silva,Pass (Dead),,
2017/18,1,Brighton & Hove Albion,17,Kevin De Bruyne,Saved,27,Right Foot,Free kick,David Silva,Fouled,Fernandinho,Pass (Live)
2017/18,1,Brighton & Hove Albion,32,Kevin De Bruyne,Blocked,28,Right Foot,Free kick,David Silva,Fouled,Danilo,Pass (Live)
2017/18,1,Brighton & Hove Albion,34,Gabriel Jesus,Saved,5,Head,Open goal,Sergio Agüero,Pass (Live),David Silva,Pass (Live)
2017/18,1,Brighton & Hove Albion,34,Gabriel Jesus,Woodwork,2,Left Foot,,Gabriel Jesus,Shot,,
2017/18,1,Brighton & Hove Albion,45,Gabriel Jesus,Off Target,26,Right Foot,,David Silva,Pass (Live),,
2017/18,1,Brighton & Hove Albion,45+3,Nicolás Otamendi,Blocked,27,Right Foot,,Sergio Agüero,Pass (Live),Vincent Kompany,Pass (Live)
2017/18,1,Brighton & Hove Albion,50,Fernandinho,Saved,30,Right Foot,,,,,
2017/18,1,Brighton & Hove Albion,53,Sergio Agüero,Off Target,14,Right Foot,,,,,
2017/18,1,Brighton & Hove Albion,58,Kevin De Bruyne,Blocked,31,Right Foot,,David Silva,Pass (Live),Sergio Agüero,Pass (Live)
2017/18,1,Brighton & Hove Albion,67,Kevin De Bruyne,Blocked,25,Left Foot,,Kyle Walker,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,1,Brighton & Hove Albion,70,Sergio Agüero,Goal,11,Right Foot,,David Silva,Pass (Live),Kevin De Bruyne,Pass (Live)
2017/18,2,Everton,2,Nicolás Otamendi,Saved,33,Right Foot,,David Silva,Pass (Live),Kyle Walker,Pass (Live)
2017/18,2,Everton,9,Sergio Agüero,Off Target,16,Left Foot,,Leroy Sané,Pass (Dead),,
2017/18,2,Everton,11,Sergio Agüero,Blocked,16,Right Foot,,Fernandinho,Pass (Live),,
2017/18,2,Everton,12,Gabriel Jesus,Off Target,31,Right Foot,,,,,
2017/18,2,Everton,16,Kevin De Bruyne,Saved,26,Right Foot,,Fernandinho,Pass (Live),Leroy Sané,Pass (Live)
2017/18,2,Everton,26,Nicolás Otamendi,Saved,25,Right Foot,,Kevin De Bruyne,Pass (Live),Vincent Kompany,Pass (Live)
2017/18,2,Everton,26,Sergio Agüero,Wayward,9,Right Foot,Lob,Nicolás Otamendi,Shot,,
2017/18,2,Everton,27,Nicolás Otamendi,Off Target,9,Head,,Kevin De Bruyne,Pass (Dead),Sergio Agüero,Shot
2017/18,2,Everton,34,David Silva,Woodwork,10,Left Foot,,Sergio Agüero,Pass (Live),Nicolás Otamendi,Pass (Live)
2017/18,2,Everton,38,Vincent Kompany,Off Target,13,Head,,Kevin De Bruyne,Pass (Dead),Leroy Sané,Fouled
2017/18,2,Everton,43,Gabriel Jesus,Saved,14,Right Foot,Half volley,Sergio Agüero,Pass (Live),David Silva,Pass (Live)
2017/18,2,Everton,51,Sergio Agüero,Blocked,19,Right Foot,,Kevin De Bruyne,Pass (Live),David Silva,Pass (Live)
2017/18,2,Everton,58,Kevin De Bruyne,Blocked,29,Right Foot,Free kick,Raheem Sterling,Fouled,Kevin De Bruyne,Pass (Live)
